Aari1239,South Omotic,AHK,Aari-Gayil,,,,,,,,,,,,,,
Aari1240,,,,,,,,,,,,,,,,,
Alag1248,Afro-Asiatic,Cushitic,South Cushitic,West Rift South Cushitic,Northern West Rift South Cushitic,,,,,,,,,,,,
Alak1253,Austroasiatic,Bahnaric,,,,,,,,,,,,,,,
Alam1246,Sepik,Sepik Hill,Eastern Sepik Hill,,,,,,,,,,,,,,
Alan1249,Austronesian,Nuclear Austronesian,Malayo-Polynesian,North Mangyan,,,,,,,,,,,,,
Alap1235,Nambiquaran,Nambikwara Complex,Northern Nambiquaran,,,,,,,,,,,,,,
Alaw1244,Mangarrayi-Maran,Maran,,,,,,,,,,,,,,,
Alba1269,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bikol,Inland Bikol,,,,,,,,,,
Alba1271,Sign Languages,,,,,,,,,,,,,,,,
Alco1235,Otomanguean,Eastern Otomanguean,Amuzgo-Mixtecan,Mixtecan,Mixtec-Cuicatec,Mixtec,Guerrero Mixtec,,,,,,,,,,
Aleg1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Bendic,,,,,,,,,,,
Alek1238,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka,Gahuku,,,,,,,,,,,,,
Aleu1260,Eskimo-Aleut,,,,,,,,,,,,,,,,
Alge1235,Sign Languages,,,,,,,,,,,,,,,,
Alge1239,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,North African Arabic,,,,,,,,,,
Alge1240,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,North African Arabic,,,,,,,,,,
Algo1255,Algic,Algonquian,Eastern Great Lakes Algonquian,Ojibwa-Potawatomi,Ojibwa,Severn-Algonquin,,,,,,,,,,,
Alii1240,Atlantic-Congo,Volta-Congo,North Volta-Congo,Gbaya-Manza-Ngbaka,Gbaya Oriental,Gbanu-Manza-Ngbaka,Manza-Ngbaka,Manzaic,Ngbaka-Manza-Ali,,,,,,,,
Alla1247,Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Tamil-Kota,Tamil-Toda,Tamil-Irula,Tamil-Kodagu,Tamil-Malayalam,Malayalamoid,,,,,,,
Alla1248,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Avikam-Alladian,,,,,,,,,,,,
Alle1238,Huarpean,,,,,,,,,,,,,,,,
Alng1239,Pama-Nyungan,Paman,Northern Pama,Leningitij-Alngith,,,,,,,,,,,,,
Aloa1235,Otomanguean,Eastern Otomanguean,Popoloca-Zapotecan,Zapotecan,Zapotec,Core Zapotec,Northern Core Zapotec,,,,,,,,,,
Alop1235,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Ni-Li-Kazhouish,Southeastern Ngwi,Riverine Phula,Upriver Riverine Phula,Pholic,,,,,,,,
